stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\programming\Projekt_ALGO\Visual Studio\problem\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.42018] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42115] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.42164] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42195] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.42273] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42321] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.42356] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42387] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.42406] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42421] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.42431] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42444] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.42453] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42464] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.42473] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42482] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.42490] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42505] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.42515] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
